var_num_peaks_2_denoise_simple,var_percentile_roll50_std_20,var_mfcc_mean4,var_mfcc_mean18,label
6210.0,2.6971626994716753,-11.369057807653459,-1.7780875423116596,1.4307971859
6116.0,2.7012903514183852,-11.027535729231278,-2.4644620006968285,1.3914988931
6748.0,2.7806046874845354,-12.873970083487377,-2.7219017807687966,1.3531960947
6259.0,2.7187668172764696,-11.228475484941168,-2.215434080013863,1.3137978019
6230.0,2.718617647865553,-11.586154492818073,-2.7869463426814667,1.2743995091
6436.0,2.7442257792173517,-11.43942637010126,-2.5197096893271405,1.2360967106999998
6413.0,2.7288688769931313,-11.269780586651875,-2.5751748351650394,1.1967984179
5866.0,2.671478284162216,-10.390144054063743,-2.283798739268406,1.1584956195
7254.0,2.8270052557285683,-12.49660562705055,-2.513442354647581,1.1190973267
6730.0,2.748356888926928,-12.052642351290986,-2.686752330688654,1.0796990339
6331.0,2.7092440968929914,-11.35607577546709,-2.426394047983169,1.0413962355
7299.0,2.851211026674289,-14.097646352561247,-2.597142083755153,1.0019979426999999
6873.0,2.8050569828217347,-14.10146003526797,-2.000217083508112,0.9626996499200001
6521.0,2.7438568785302055,-12.111838970954983,-2.1461483454862504,0.9243968515200001
5905.0,2.6680263529090618,-10.56108620729582,-2.2759493465099214,0.8849985587200001
7015.0,2.7875253504593784,-12.879992563896298,-2.0965129283075354,0.84669576032
6350.0,2.715473140922458,-11.319020137917885,-1.9654327423420817,0.8072974675200001
6590.0,2.7365592156399954,-12.035421913991918,-2.403366098830364,0.76799917472
6955.0,2.7711045890398798,-11.746661340838196,-2.36216642280772,0.72969637632
6370.0,2.7318057766611954,-14.18933707291565,-2.234373420981688,0.69029808352
7202.0,2.822828818091604,-13.668920891517866,-2.103875425851332,0.6508997907199999
7193.0,2.830432457265298,-13.222690121353102,-2.9322192301700216,0.61259699232
7041.0,2.8206974828816285,-12.963507645526146,-2.4049211497445206,0.57329869952
6614.0,2.7423596215096384,-11.410424043825158,-2.653895086962152,0.53499590112
6879.0,2.7540464214119083,-11.572440543276361,-1.7838962087787857,0.49559760831999994
6785.0,2.749325663104688,-12.206818255482206,-2.110255988089409,0.45619931552000004
6400.0,2.7443510099639217,-12.198303702844417,-2.569202841658262,0.41789651712
6348.0,2.73347568543408,-11.018111905241357,-2.114517138675138,0.37849822431999997
6700.0,2.7688647861135256,-11.714291163179503,-1.8392111023872748,0.33919993151999994
8189.0,3.0109350194344016,-12.040609036222923,-1.8915632954792898,0.30089713312
8767.0,3.0934113044756644,-13.3233521826097,-2.859650810188626,0.26149884032
7379.0,2.8300854795787727,-10.869162231532398,-3.0512364226699793,0.22319604191999998
5225.0,2.618283920184442,-7.807499085368822,-1.9387797455275688,0.18379774912
3626.0,2.5180509441338708,-6.854890679105064,-1.1664793848495612,0.14449945632000002
3314.0,2.5067703302275355,-7.841792632794206,-1.7088321488279101,0.10619665682
2877.0,2.4897205263181252,-6.265937484115891,-0.8111833062779532,0.066798364023
2451.0,2.4609918827396395,-6.841585268994895,-0.32720420522652044,0.028495565623
2871.0,2.484686375174267,-6.699855125753128,-0.9558889619593521,11.530097275
2928.0,2.4958353785998195,-7.5386384655079715,-0.8475246033193168,11.490798982000001
2793.0,2.4664431909033793,-7.519554673303265,-0.6926970214668878,11.452496184000001
2508.0,2.486932392264515,-7.239771697696711,-0.9341023485485804,11.413097891
2927.0,2.4931682810140017,-7.095178150410715,-1.389765835992489,11.373699598
3022.0,2.4916635499482336,-7.356663478017291,-0.8769294172278425,11.335396800000002
2804.0,2.4885440331078907,-6.856326566414416,-0.9588280886291113,11.295998507
2762.0,2.475522635064178,-8.017945847516112,-1.0454861371208384,11.257695709000002
2796.0,2.4833117796035187,-7.700982848158294,-0.65035796046062,11.218397415999998
2998.0,2.4903358563919857,-7.372581240853492,-0.9180201871737133,11.178999122999999
2415.0,2.4548412458371467,-7.020906531717285,-0.7215148570800269,11.140696325
2540.0,2.458454357231841,-7.110470485084351,-0.9032515012818076,11.101298032
2283.0,2.445883244907699,-6.283449439185701,-0.7963752787188009,11.061999739
